"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"Tooltip:Switch traffic lights","Ampeln setzen","Toggle Traffic Lights","Agregar/Borrar semáforos","(Dés)activer les feux tricolores","Jelzőlámpa kapcsolása","Attiva/disattiva semafori","信号の付け外し","신호등 추가/제거","Stoplichten omwisselen","Włącznik sygnalizacji","Alternar semáforos","Переключение Светофоров","增加/刪除號誌燈","增删红绿灯","Switch traffic lights","Trafik ışıklarını değiştir","Переключити Світлофор","Přepnout semafory","Prepnúť semafory","เปลี่ยนสัญญาณไฟจราจร","Schimbă semafoarele","","ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﺡﺎﺘﻔﻣ","Aktifkan/nonaktifkan lampu lalu lintas","Bật tắt đèn giao thông",""
"Tooltip:Add priority signs","Vorfahrtsschilder","Priority Signs","Agregar señales de tráfico","Ajouter des signes de priorité","Elsőbbséget szabályozó jelzőtáblák","Aggiungi segnali di precedenza","優先関係標識の追加","우선순위 표지판 추가","Plaats voorrangsborden","Dodaj znaki pierwszeństwa","Adicionar placas de preferência","Знаки Приоритета Движения","增訂優先通行權","添加路口优先权","Add priority signs","Öncelik işaretleri ekle","Приорітет Руху","Přidat značku přednosti","Pridať značku prednosti","เพิ่มเครื่องหมายลำดับความสำคัญ","Adăugă semne de prioritate","","ﺔﻳﻮﻟﻭﻷﺍ ﺕﺎﻣﻼﻋ","Rambu Prioritas","Thêm biển báo ưu tiên",""
"Tooltip:Manual traffic lights","Manuelle Ampeln","Manual Traffic Lights","Semáforos manuales","Feux tricolores manuels","Manuális jelzőlámpák","Semafori manuali","信号の手動切替","신호등 직접 통제","Handmatige stoplichten","Sygnalizacja Ręczna","Semáforo manual","Светофоры Вручную","手控號誌燈","手动控制红绿灯","Manual traffic lights","Elcil trafik ışıkları","Ручне Керування Світлофором","Ruční řízení semaforů","Manuálne riadenie semaforov","สัญญาณไฟจราจรแบบ Manual","Semafoare manuale","","ﺔﻳﻭﺪﻴﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ","Lampu lalu lintas manual","Chỉnh thủ công đèn giao thông",""
"Tooltip:Timed traffic lights","Zeitgesteuerte Ampeln","Timed Traffic Lights","Semáforos programados","Feux tricolores chronométrés","Időzített jelzőlámpák","Semafori temporizzati","時間設定付き信号","신호등 시간표","Tijdgestuurde stoplichten","Sygnalizacja Czasowa","Semáforos cronometrados","Светофоры с Таймером","號誌燈時相設定","定时红绿灯设置","Timed traffic lights","Süreli trafik ışıkları","Світлофори з Таймером","Časově řízené semafory","Časovo riadené semafory","สัญญาณไฟจราจรตามกำหนดเวลา","Semafoare sincronizate","","ﺖﻗﻮﻟﺎﺑ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ","Lampu lalu lintas berwaktu","Thời gian đèn giao thông",""
"Tooltip:Change lane arrows","Richtungspfeile","Lane Arrows","Editar dirección de carril","Changer les directions de voies","Előjelző nyilak változtatása","Cambia le frecce di corsia","車線矢印の変更","차선 화살표 변경","Voorsorteerpijlen aanpassen","Zmień strzałki pasów","Alterar setas da faixa","Стрелки на Полосах Движения","改變車道遵行方向","更改车道行车导向箭头","Change lane arrows","Şerit oklarını değiştir","Стрілки на Смугах Руху","Směr jízdy","Zmena smeru jazdných pruhov","เปลี่ยนลูกศรเลน","Schimbă săgețile benzii","","ﺓﺭﺎﺤﻟﺍ ﻢﻬﺳﺍ ﺮﻴﻴﻐﺗ","Ubahkan panah lajur","Thay đổi hướng làn",""
"Tooltip:Clear traffic","Verkehr löschen","Clear Traffic","Limpiar Tráfico","Nettoyer le trafic","Forgalom törlése","Rimuovi il traffico","移動中車両の除去","모든 교통차량 초기화","Wegen vrijmaken","Wyczyść ruch","Limpar tráfego","Очистить Весь Транспорт","消除所有車輛","清除所有交通工具","Clear Traffic","Trafiği temizle","Повністю очистити весь транспорт","Vymazat veškerý provoz na silnici","Resetovať premávku","เคลียร์การจราจร","Curățați traficul","","ﺭﻭﺮﻤﻟﺍ ﺔﻛﺮﺣ ﺢﺴﻣ","Hilangkan kendaraan","Dọn dẹp giao thông",""
"Dialog.Text:Clear traffic, confirmation","Verkehr löschen?","Are you sure you want to clear all traffic?","¿Limpiar Tráfico?","Nettoyer le trafic ?","Biztosan törli a forgalmat?","Sei sicuro di voler rimuovere il traffico?","移動中車両の除去","모든 트래픽을 삭제하시겠습니까?","Wegen vrijmaken?","Wyczyść ruch?","Limpar tráfego?","Очистить весь транспорт?","確認消除所有車輛","是否确认清除当前所有交通工具?","Are you sure you want to clear all traffic?","Mevcut trafiği temizlemek istediğinizden emin misiniz?","Чи це вірно? Ви бажаєте очистити весь транспорт з доріг","Opravdu si přejete vymazat veškerý provoz na silnici?","Naozaj chcete resetovať premávku?","เคลียร์การจราจร,ยืนยัน","","","ﺭﻭﺮﻤﻟﺍ ﺔﻛﺮﺣ ﺢﺴﻣ ﺪﻴﻛﺄﺗ","Apakah Anda yakin untuk menghilangkan semua kendaraan?","Xác nhận xóa toàn bộ giao thông",""
"Tooltip:Speed limits","Geschwindigkeitsbeschränkungen","Speed Limits","Límites de velocidad","Limitations de vitesse","Sebességhatárok","Limiti di velocità","速度制限","속도 제한","Snelheidslimiet","Ograniczenia prędkości","Limite de Velocidade","Ограничения Скорости","速限","道路速度限制","Speed limits","Azami hızlar","Обмеження Швидкості","Omezení rychlosti","Obmedzenia rýchlosti","จำกัดความเร็ว","Limite de viteză","","ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ","Batas kecepatan","Giới hạn tốc độ",""
"Tooltip:Vehicle restrictions","Fahrzeugbeschränkungen","Vehicle Restrictions","Restricciones de vehículos","Restrictions des véhicules","Járműkorlátozások","Restrizioni veicolari","車両規制","차량 제한","Voertuigbeperkingen","Ograniczenia ruchu pojazdów","Restrições de veículos","Ограничения Видов Транспорта","車種限定","道路车种限制","Vehicle restrictions","Taşıt kısıtlamaları","Обмеження Видів Транспорту","Omezení vozidel","Obmedzenia vozidiel","ข้อจำกัด ของยานพาหนะ","Restricții vehicule","","ﺔﺒﻛﺮﻤﻟﺍ ﺩﻮﻴﻗ","Larangan kendaraan","Hạn chế xe cộ",""
"Tooltip:Parking restrictions","Parkverbote","Parking Restrictions","Restricciones de estacionamientos","Restrictions de stationnement","Parkolási korlátozások","Restrizioni di parcheggio","駐車規制","주차 제한","Parkeerbeperkingen","Ograniczenia parkingowe","Restrições de estacionamento","Ограничения Парковки","停車限制","路旁停车限制","Parking restrictions","Park kısıtlamaları","Обмеження Паркування","Omezení parkování","Obmedzenie parkovania","ข้อจำกัด ในการจอดรถ","Restricții de parcare","","ﻒﻗﺍﻮﻤﻟﺍ ﺩﻮﻴﻗ","Larangan parkir","Hạn chế đỗ xe",""
