"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"Kilometers per hour","Kilometer pro Stunde","Kilometers per Hour","Kilometros por hora","Kilomètres par Heure","Kilométer óránként","Chilometri orari","km/時","시간당 킬로미터","Kilometer per uur","Kilometry na godzinę","Quilometros por Hora","Километры в час","公里/小時","千米 / 小时","Kilometres per hour","Kilometre / Saat","Кілометри на годину","Km/hod","Kilometre za hodinu","กิโลเมตรต่อชั่วโมง","Kilometri pe oră","Quilomètres per Ora","ﺔﻋﺎﺴﻟﺍ ﻲﻓ ﻢﻛ","Kilometer per jam","Km/h",""
"Miles per hour","Meilen pro Stunde","Miles per Hour","Millas por hora","Miles par Heure","Mérföld per óra","Miglia orarie","マイル/時","시간당 마일","Mijl per uur","Mile na godzinę","Miles per Hour","Мили в час","英哩/小時","英里 / 小时","Miles per Hour","Mil / Saat","Мілі на годину","Míle za hodinu","Míle za hodinu","ไมล์ต่อชั่วโมง","Mile pe oră","Milas per Ora","ﺔﻋﺎﺴﻟﺍ ﻲﻓ ﻞﻴﻣ","Mil per jam","Miles/h",""
"Unlimited","Unbegrenzt","No limit","Sin límite","Vitesse illimitée","Határ nélül","Nessun limite","無制限","무제한","Onbeperkt","Bez ograniczeń","Speed_limit_unlimited","Без ограничений","無道路速限","无限制","No limit","Sınırsız","Без обмежень","Neomezené","Neobmedzene","ไม่จำกัด","Nelimitat","","ﺩﻭﺪﺤﻣ ﺮﻴﻏ","Tiada batas","Không giới hạn",""
"Label:Default speed limit","Standard-Geschwindigkeitsbeschränkung","Default speed limit","Límite de velocidad predeterminado","Limite de vitesse par défaut","Alapértelmezett sebességkorlátozás","Limite di velocità predefinito","デフォルトの制限速度","기본 속도 제한","Standaard snelheidslimiet","Domyślny limit prędkości","Limite de velocidade padrão","Ограничение скорости по умолчанию","預設道路速限","默认道路速度限制","Default speed limit","Varsayılan azami hız","Обмеження швидкості для типів доріг","Výchozí limit rychlosti","Predvolené obmedzenie rýchlosti","ขีดจำกัดความเร็วเริ่มต้น","Limită de viteză standard","","ﻲﺿﺍﺮﺘﻓﻻﺍ ﺔﻋﺮﺴﻟﺍ ﺪﺣ","Batas kecepatan standar","Giới hạn tốc độ mặc định",""
"Window.Title:Default speed limits","Standard-Geschwindigkeitsbeschränkungen","Default speed limits","Límites de velocidad predeterminados","Limites de vitesse par défaut","Alapértelmezett sebességkorlátozások","Limiti di velocità predefiniti","デフォルトの制限速度","기본 속도 제한","Standaard snelheidslimieten","Standardowe limity prędkości","Limites de velocidade padrão","Ограничения скорости по умолчанию","預設速限","默认道路速度限制","Default speed limits","Varsayılan azami hızlar","Обмеження швидкості для типів доріг","Výchozí omezení rychlosti","Predvolené obmedzenia rýchlostí","ขีดจำกัดความเร็วเริ่มต้น","Limite de viteză standard","","ﺔﻴﺿﺍﺮﺘﻓﻻﺍ ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ","Batas kecepatan standar","Giới hạn tốc độ mặc định",""
"Button:Save","Speichern","Save","Guardar","Sauvegarder","Mentés","Salva","保存","저장","Opslaan","Zapisz","Salvar","Сохранить","儲存","保存","Save","Kaydet","Зберегти","Uložit","Uložiť","บันทึก","Salvare","","ﻆﻔﺣ","Simpan","Lưu",""
"Checkbox:Display speed limits mph","Geschwindigkeitsbegrenzungen anzeigen als MPH statt km/h","Display speed limits as MPH instead of km/h","Mostrar límites de velocidad como MPH en vez de km/h","Affiche la vitesse limit en MPH à la place de km/h","A sebességkorlátozásokat MPH-ban jelenítse meg km / h helyett","Visualizza i limiti di velocità in miglia orarie anziché in chilometri orari","Display speed limits as MPH instead of km/h","속도 제한을 km/h 대신 MPH로 표시","Toon snelheidslimieten in MPH in de plaats van km/h","Wyświetlaj limity prędkości w mph zamiast km/h","Mostrar limites de velocidade como Mph em vez de km/h","Показывать скорости в милях в час вместо км/ч","使用英哩/小時作為速限顯示","速度以<英里/小时>显示而并非以<千米/小时>显示","Display speed limits as MPH instead of km/h","Azami hızları km/s yerine mi/s olarak göster","Відображення обмежень швидкості в милях замість км/год","Zobrazí limit rychlosti v mílích za hodinu místo kilometrů","Zobraziť rýchlosti v MPH namiesto KM/H","แสดงขีดจำกัดความเร็วเป็นไมล์ต่อชั่วโมง","Afișați limita de viteza mph","","ﻮﻠﻴﻜﻟﺍ ﻦﻣ ﻻﺪﺑ ﻞﻴﻤﻟﺎﺑ ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ ﺽﺮﻋ","Perlihatkan batas kecepatan sebagai MPJ dari pada km/j","Hiển thị vận tốc bằng mét/giờ thay cho km/h",""
"General.Theme.Option:Round German","Deutsche Verkehrszeichen","German signs","Señales Alemanas","Panneaux Allemand","Német jelek","Segnaletica tedesca","ドイツ式標識","독일 표지판","Duitse verkeersborden","Niemcy","German signs","Немецкие знаки","德式路標","德国标志","German signs","Almanya işaretlemeleri","Круглі німецькі знаки","Německé značení","Nemecké značenie","ป้ายแบบเยอรมัน","","","ﺔﻴﻧﺎﻤﻟﺃ ﺕﺎﻣﻼﻋ","Rambu-rambu Jerman","Biển báo kiểu Đức",""
"General.Theme.Option:Round UK","Britische Verkehrszeichen","British signs","Señales Inglesas","Panneaux Britanique","Brit jelek","Segnaletica britannica","イギリス式標識","영국 표지판","Britse verkeersborden","Wielka Brytania","British signs","Британские знаки","英式路標","英国标志","British signs","Britanya işaretlemeleri","Круглі британські знаки","Britské značení","Britské značenie","ป้ายแบบสหราชอาณาจักร","","","ﺔﻴﻧﺎﻄﻳﺮﺒﻟﺍ ﺕﺎﺘﻓﻼﻟﺍ","Rambu-rambu Inggris","Biển báo kiểu Anh",""
"General.Theme.Option:Square US","US-Verkehrszeichen","US signs","Señales Americanas (USA)","Panneaux Américain","Amerikai jelek","Segnaletica statunitense","アメリカ式標識","미국 표지판","Amerikaanse verkeersborden","Stany zjednoczone","US signs","Американские знаки","美式路標","美国标志","US signs","ABD işaretlemeleri","Прямокутні американські","Americké značení","Americké značenie","ป้ายแบบสหรัฐอเมริกา","","","ﺔﻴﻜﻳﺮﻣﺍ ﺕﺎﺣﻮﻟ","Rambu-rambu Amerika","Biển báo kiểu Mĩ",""
"General.Dropdown:Road signs theme mph","Thema für Geschwindigkeitsschilder","Theme for MPH road signs","Tema para las señales de velocidad máxima","Thème pour les panneaux de route anglosaxon MPH","Téma az MPH útjelző táblákhoz","Temi per i segnali stradali in miglia orarie","速度標識のテーマ","MPH 도로 표지판 테마","Stijl van de verkeersborden voor MPH","Motyw dla znaków MPH","Tema de sinais de rua Mph","Стиль знаков, когда показываются мили в час","英哩/小時路標風格","<英里/小时>标志风格","Theme for MPH road signs","Mi/s yol işaretlemeleri için izdem","Тема відображення знаків обмеження швидкості","Téma pro značení v mílích za hodinu","Typ značiek v míľach","ชุดรูปแบบสำหรับป้ายถนนแบบไมล์ต่อชั่วโมง","","","ﻞﻴﻤﻟﺎﺑ ﻖﻳﺮﻄﻟﺍ ﺕﺎﺣﻮﻟ","Tema untuk rambu batas kecepatan MPJ","Biển báo sử dụng m/h",""
"Defaults.Label:Road type","Straßentyp","Road type","Tipo de calle","Type de route","Út típusa","Tipo di strada","道路の種類","도로 유형","Wegtype","Typ drogi","Tipo de pista","Тип дороги","道路類型","道路类型","Road type","Yol tipi","Тип дороги","Typ cesty","Typ cesty","ประเภทถนน","","","ﻖﻳﺮﻄﻟﺍ ﻉﻮﻧ","Jenis jalan","Loại đường",""
"Button:Save & Apply","Anwenden","Apply","Guardar y Aplicar","Appliquer","Alkalmaz","Applica","適用","적용","Toepassen","Zastosuj","Aplicar","Применить","儲存並套用","应用","Apply","Uygula","Зберегти і застосувати","Uložit a použít","Uložiť a použiť","บันทึกและนำไปใช้","Salvează și aplică","","ﻖﻴﺒﻄﺗﻭ ﻆﻔﺣ","Terapkan","Lưu & Áp dụng",""
"Checkbox:Show lane-wise speed limits","Zeige spurweise Geschwindigkeitsbeschränkungen","Show lane-wise speed limits","Mostrar límite de velocidad en el carril","Afficher les limites de vitesse par voie","Mutassa meg a sáv szerinti sebességkorlátozásokat","Mostra i limiti di velocità per ogni corsia","車線毎の制限速度を表示する","차선별 속도 제한 표시","Toon rijstrookspecifieke snelheidslimieten","Pokaż limity prędkości dla pasów","Mostrar limites de velocidade por faixa.","Показывать ограничения по каждой полосе","顯示車道速限","显示各车道道路限速设置","Show lane-wise speed limits","Şerite göre azami hızları göster","Показувати обмеження в кожній смузі","Zobrazit limit rychlosti pro jízdní pruhy","Zobraziť obmedzenia rýchlostí pre jazdné pruhy","แสดงขีดจำกัดความเร็วของช่องจราจร","","","ﺓﺭﺎﺤﻟﺍ ﺐﺴﺣ ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ ﺽﺮﻋ","Perlihatkan batas kecepatan per lajur","Hiện giới hạn tốc độ phù hợp với làn",""
"Checkbox:Apply to entire road","Auf die gesamte Straße anwenden","Apply to entire road","Aplicar a toda la calle","Appliquer à toute la route","Alkalmazás a teljes útra","Applica a tutta la strada","道路全体に適用","도로 전체에 적용","Pas op de gehele weg toe","Zastosuj dla całej drogi","Aplica a toda a rua","Применить к целой дороге","套用到整個路段","应用至两个路口之间所有路段","Apply to entire road","Tüm yola uygula","Застосувати до всієї вулиці","Nastavit pro celou silnici","Použiť na celú cestu","นำไปใช้กับถนนทั้งหมด","","","ﻖﻳﺮﻄﻟﺍ ﻞﻣﺎﻛ ﻰﻠﻋ ﻖﻴﺒﻄﺗ","Terapkan dari ujung ke ujung","Áp dụng cho toàn bộ con đường này",""
"Button:Default","Standard","Default","Predeterminado","Bouton : Défault","Alapbeállítás","Impostazione predefinita","デフォルト","기본값","Standaard","Domyślne","Padrão","По умолчанию","預設值","默认","Default","Varsayılan","По замовчанню","Výchozí","Predvolené","ค่าเริ่มต้น","","","ﻲﺿﺍﺮﺘﻓﻻﺍ","Standar","Mặc định",""
"Editing speed limit overrides for segments","Geschwindigkeitsbegrenzung für Segmente bearbeiten","Editing speed limit overrides for segments","Editar el límite de velocidad por segmentos","Modifier la limite de vitesse pour les segments","","Modificando le sovrascrizioni del limite di velocità per i segmenti","セグメントの制限速度を上書きする","구간 내 재구성한 제한 속도 편집 중","Bijwerken overschrijvingen van maximum snelheid voor segmenten","Edycja ograniczeń prędkości dla segmentów","Editar o limite de velocidade sobrescreve os seguimentos","Редактирование ограничений для участков дороги","設定路段速限","覆盖当前区段限速","Editing speed limit overrides for segments","Segment modu etkinken hız limitleri penceresinde gösterilir","Редагування обмежень для ділянок шляху","Změna limitu rychlosti bude přepsána na zvoleném segmentu","Úprava rýchlostných obmedzení pre úseky","แก้ไขการแทนที่ขีดจำกัดความเร็วสำหรับ segments","","","ﺕﺎﻌﻃﺎﻘﺘﻠﻟ ﺔﻋﺮﺴﻟﺍ ﺩﻭﺪﺣ ﺮﻳﺮﺤﺗ","Mengubah batas kecepatan untuk bagian jalan","Sửa đè tốc độ giới hạn cho đoạn đường",""
