"Original","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-GB"
"Add_zoning","Zonen aktivieren","Add zoning","Agregar zona","Ajouter le zonage","Adjon hozzá zónát","Aggiungi zoning","区間の追加","지역설정 추가","Zones activeren","Aktywuj Strefy","Adicionar zoneamento","Добавить зонирование","增加區劃","添加分区","Add zoning"
"Advanced_AI_cannot_be_activated","Erweiterte Fahrzeug-KI kann nicht aktiviert werden","Advanced AI cannot be activated","IA Avanzada no puede ser activada","L'IA avancée ne peut pas être activée","Az Advanced AI nem aktiválható","La IA Avanzata non può essere attivata","Advanced Vehicle AIは有効にできません","발전된 AI 활성화 불가","Verbeterde voertuig-KI kan niet worden geactiveerd","Nie można włączyć Zaawansowanej SI","IA avançada não pode ser ativada","Продвинутый AI не может быть активирован по причине используемого вами другого мода, который изменяет поведение транспорта (например Improved AI, Traffic++).","加強版 AI 無法啟動","高级车辆AI无法启动","Advanced AI cannot be activated"
"All_selected_roads_must_be_of_the_same_type!","Alle ausgewählten Straßen müssen vom gleichen Typ sein!","All selected roads must be of the same type!","¡Todas las calles deben ser del mismo tipo!","Toutes les routes sélectionnées doivent être du même type !","Minden kiválasztott útnak azonos típusúnak kell lennie!","Tutte le strade selezionate devono essere dello stesso tipo!","選択する道路は全て同じタイプである必要があります！","같은 유형의 도로가 선택되어 있습니다!","Alle geselecteerde wegen moeten van hetzelfde soort zijn!","Wszystkie zaznaczone drogi muszą być tego samego typu","Todas as pistas selecionadas devem ser do mesmo tipo!","Все выбранные дороги должны быть одинакового типа!","所有選擇的道路必須是同類型的","所有选中的道路必须是同一类型的","All selected roads must be of the same type!"
"Allow_lane_changing_for_vehicles_going_straight","Spurwechsel für Fahrzeuge erlauben, die geradeaus fahren","Allow lane changing for vehicles going straight","Permitir cambio de pista a los vehículos que circulan recto","Autoriser le changement de voie pour les véhicules allant tout droit","Engedélyezze a sávváltást az egyenesen haladó járműveknél","Permetti il cambio corsia per i veicoli che proseguono dritto all'incrocio","直進車両の車線変更を許可","직진하는 차량의 차선 변경을 허가","Wisselen van rijstook toestaan voor voertuigen die rechtdoor rijden","Zezwól na zmianę pasa ruchu dla pojazdów jadących na wprost","Permitir mudança de faixa para veículos seguindo reto","Транспорт, идущий прямо, может менять полосу","允許直行車變換車道","允许直行车辆变更车道","Allow lane changing for vehicles going straight"
"Allow_u-turns","Wenden erlauben","Allow u-turns","Permitir giros en ""U""","Autoriser les demi-tours","Engedje meg a fordulást","Permetti le svolte a ""U""","Uターンを許可","유턴 허가","U-bochten toestaan","Zezwól na zawracanie","Permitir retornos","Разрешить разворачиваться","允許迴轉","允许车辆掉头","Allow u-turns"
"Allow_vehicles_to_enter_a_blocked_junction","Erlaube Fahrzeuge, in eine blockierte Kreuzung einzufahren","Allow vehicles to enter a blocked junction","Permitor que los vehículos ingresen a cruces bloqueados","Autoriser les véhicules à entrer dans une intersection bloquée","Engedje be a járműveknek, hogy blokkolt kereszteződésekbe lépjenek","Permetti ai veicoli di entrare/occupare un incrocio bloccato/intasato","交差点内での停車を許可","차량 출입금지 도로에 차량 출입 허가","Sta voertuigen toe om een geblokkeerde kruising op te rijden","Zezwól pojazdom na wjazd na zablokowane skrzyżowanie","Permitir entrada de veículos em cruzamentos bloqueados","Разрешить заезжать на заблокированные перекрёстки","允許塞車回堵時不用保持路口淨空","允许车辆进入堵塞路口","Allow vehicles to enter a blocked junction"
"Create_group","Gruppe erstellen","Create group","Crear Grupo","Créer un groupe","Csoport létrehozása","Crea gruppo","グループの作成","그룹 생성","Gruppe aanmaken","Stwórz grupę","Criar grupo","Создать группу","創建連鎖群組","创建组合","Create group"
"default","Standard","default","por defecto","par défaut","alapértelmezett","predefinito","デフォルト","기본값","standaard","domyślny","default","По умолчанию","default","默认","default"
"Delete_group","Gruppe löschen","Delete group","Borrar Grupo","Supprimer un groupe","Csoport törlése","Elimina gruppo","グループの削除","그룹 제거","Gruppe verwijderen","Skasuj grupę","Apagar grupo","Удалить группу","刪除連鎖群組","删除组合","Delete group"
"Drivers_want_to_change_lanes_(only_applied_if_Advanced_AI_is_enabled):","Autofahrer wechseln ihre Spur (wird nur angewendet wenn die KI eingeschaltet ist)","Drivers like to change their lane (only applied if Advanced AI is enabled)","Conductores prefieren cambiar de vía (sólo si IA Avanzada está activada)","Les conducteurs veulent changer de voies (seulement si l'IA avancée est activée) :","A járművezetők szeretnék megváltoztatni a sávot (csak akkor alkalmazzák, ha az Advanced AI engedélyezve van)","Agli automobilisti piace cambiare corsia (applicata solo se attiva la IA dei Veicoli Avanzata)","車線変更の頻度 (Advanced AI有効時のみ適用されます)","운전자가 차선을 변경합니다 (발전된 차량 AI를 사용 중일 때만 적용됩니다)","Autobestuurders wisselen van rijstrook (heeft alleen effect als de KI ingeschakeld is)","Chęć kierowców do zmiany pasa (tylko gdy Zaawansowana SI jest włączona)","Motoristas gostam de mudar sua faixa:\n(só é aplicado se IA avançada de veiculo estiver habilitado)","Водители могут перестраиваться на более свободные полосы (только при продвинутом AI):","駕駛人變換車道的習慣（僅適用於加強版 AI 啟用時）","司机倾向变更车道（仅适用于高级AI启用时)","Drivers like to change their lane (only applied if Advanced AI is enabled)"
