English,"Chinese Simplified","Chinese Traditional",Dutch,English,"English, United Kingdom",French,German,Hungarian,Italian,Japanese,Korean,Polish,Portuguese,Russian,Spanish,File
Switch_traffic_lights,红绿灯增删,增刪號誌燈,"Stoplichten omwisselen","Switch traffic lights","Switch traffic lights","(Dés)activer les feux tricolores","Ampeln setzen","Kapcsolja be a lámpákat","Attiva/Disattiva semaforo",信号の付け外し,"신호등 추가/제거","Włącznik sygnalizacji","Interruptor de Semáforos","Установка светофора","Agregar/Borrar semáforos",Strings.csv
Add_priority_signs,添加路口优先权,增訂優先通行權,"Plaats voorrangsborden","Add priority signs","Add priority signs","Ajouter des signes de priorité",Vorfahrtsschilder,"Adjon hozzá prioritási jeleket","Aggiungi segnale stradale",優先関係標識の追加,"교통 표지판 추가","Dodaj znaki pierwszeństwa","Placas de preferência","Знаки приоритета","Agregar señales de tránsito",Strings.csv
Manual_traffic_lights,手动控制红绿灯,手控號誌燈,"Handmatige stoplichten","Manual traffic lights","Manual traffic lights","Feux tricolores manuels","Manuelle Ampeln","Kézi közlekedési lámpák","Semaforo (manuale)",信号の手動切替,"신호등 직접 통제","Sygnalizacja Ręczna","Semáforo manual","Ручной светофор","Semáforos manuales",Strings.csv
Timed_traffic_lights,红绿灯定时设置,號誌燈時相設定,"Tijdgestuurde stoplichten","Timed traffic lights","Timed traffic lights","Feux tricolores chronométrés","Zeitgesteuerte Ampeln","Időzített közlekedési lámpák","Semaforo (temporizzato)",時間設定付き信号,"신호등 시간표 설정","Sygnalizacja Czasowa","Semáforos cronometrados","Настраиваемый светофор","Semáforos programados",Strings.csv
Change_lane_arrows,变更车道方向,改變車道遵行方向,"Voorsorteerpijlen aanpassen","Change lane arrows","Change lane arrows","Changer les directions de voies",Richtungspfeile,"Változtasson a sáv nyilait","Modifica frecce di direzione",車線矢印の変更,"도로 화살표 변경","Zmień strzałki pasów","Alterar setas de pista","Стрелки движения","Editar flechas de pistas",Strings.csv
Clear_Traffic,清除所有车辆,消除所有車輛,"Wegen vrijmaken","Clear Traffic","Clear Traffic","Nettoyer le trafic","Verkehr löschen","Tiszta forgalom","Resetta traffico",移動中車両の除去,"모든 교통차량 초기화","Wyczyść ruch","Limpar tráfego","Очистить трафик","Limpiar Tráfico",Strings.csv
Disable_despawning,禁止车辆消失,久塞車輛永不消失,"Voertuigdverdwijning uitschakelen","Disable despawning","Disable despawning","Désactiver la disparition","Despawn ausschalten","Letiltja a hajtást","Disabilita il despawn",スタック除去無効化,"차 사라짐 비활성화","Zablokuj znikanie pojazdów","Desativar despawning","Выключить исчезновение машин","Desactivar desaparición",Strings.csv
Enable_despawning,允许车辆消失,允許久塞車輛消失,"Voertuigverdwijning inschakelen","Enable despawning","Enable despawning","Activer la disparition","Despawn einschalten","Engedélyezze a levágást","Abilita il despawn",スタック除去有効化,"차 사라짐 활성화","Odblokuj znikanie pojazdów","Ativar despawning","Включить исчезновение машин","Activar desaparición",Strings.csv
NODE_IS_LIGHT,"路口有红绿灯。\n请选择「红绿灯增删」，并点选该路口来删除红绿灯。","具有預設燈號的道路交岔點。\n選用「增刪號誌燈」並點選該道路交岔點來刪除號誌燈。","De kruising heeft een stoplicht.\nJe kunt het stoplicht verwijderen door eerst op ""stoplichten omwisselen"" te klikken en daarna op de kruising.","Junction has a traffic light.\nDelete the traffic light by choosing ""Switch traffic lights"" and clicking on this node.","Junction has a traffic light.\nDelete the traffic light by choosing ""Switch traffic lights"" and clicking on this node.","Cette intersection a des feux rouges.\nSupprimez-les en sélectionnant ""(Dés)activer les feux tricolores"" et en cliquant sur l'intersection.","Die Kreuzung hat eine Ampel.\nLösche zunächst die Ampel, indem du auf ""Ampeln setzen"" und dann auf die Kreuzung klickst.","A csomóponton van egy jelzőlámpa. \nTávolítsa el a jelzőlámpa pontot a ""Jelzőlámpa váltása"" elem kiválasztásával, és kattintson erre a csomópontra.","In questo incrocio c'è un semaforo.\nElimina il semaforo scegliendo ""Attiva/Disattiva semaforo""","この交差点には信号があります。\n信号を削除するには「信号の付け外し」を選んでこの交差点をクリックしてください。","교차로에 신호등을 생성합니다.\n'신호등 추가/제거'를 통해 이 도로 교차로에 신호등을 추가하거나 제거 할 수 있습니다.","Skrzyżowanie posiada sygnalizację. \nUsuń sygnalizację poprzez ""Włącznik sygnalizacji"" i kliknięcie na tym węźle.","O cruzamento tem um semáforo.\nExclua o semáforo, escolhendo ""Interruptor de Semáforos"" e clicando em seu cruzamento.","На перекрёстке работает светофор.\nДля его удаления выберите ""Установка светофора"" и нажмите на этот узел.","El cruce tiene semáforos.\nBorra los semáforos seleccionando ""Agregar/Borrar semáforos"" y haz clic en este cruce.",Strings.csv
NODE_IS_TIMED_LIGHT,"路口有自定时红绿灯，\n请选择「红绿灯定时设置」，再点选该路口并点选「删除」以删除设定。","具有自訂程序燈號的道路交岔點。\n先選用「號誌燈時相設定」，再點選該道路交岔點並點選「移除」以移除設定。","De kruising heeft tijdgestuurde stoplichten.\nJe kunt de tijdsturing verwijderen door op ""Tijdgestuurde stoplichten"" te klikken, daarn op de kruising en daarna op ""Verwijderen"".","Junction is part of a timed script.\nSelect ""Timed traffic lights"", click on this node and click on ""Remove"" first.","Junction is part of a timed script.\nSelect ""Timed traffic lights"", click on this node and click on ""Remove"" first.","Cette intersection a des feux chronométrés.\nSélectionnez ""Feux tricolores chronométrés"", cliquer sur l'intersection, puis sur ""Retirer"" d'abord.","Die Kreuzung wird von einer Zeitsteuerung kontrolliert.\nWähle ""Zeitgesteuerte Ampeln"" aus, klicke auf die Kreuzung und klicke auf ""Entfernen"".","A csomópont egy időzített szkript része. \nVálassza a ""Időzített jelzőlámpa"" pontot, kattintson erre a csomópontra, majd kattintson az ""Eltávolítás"" elemre.","In questo incrocio c'è un semaforo temporizzato\nPrima seleziona ""Semaforo (temporizzato)"", clicca su questo nodo e poi ""Rimuovi"".","この交差点には時間設定付き信号があります。\nまず「時間設定付き信号」を選んでこの交差点をクリックして「削除」をクリックしてください。","이미 신호등 시간표가 설정되어 있습니다.\n'신호등 시간표 설정'에서 '제거'를 통해 삭제해야지만 가능합니다.","Skrzyżowanie jest częścią skryptu czasowego. \nWybierz ""Sygnalizacja Czasowa"", najpierw kliknij na tym węźle i potem na ""Usuń"".","Esta junção é parte de um script cronometrado.\nPrimeiro selecione ""Semáforos cronometrados"", selecione este cruzamento e clique em remover.","Перекрёсток содержит скрипт настраиваемого светофора.\nВыберите ""Настраиваемый светофор"", нажмите на этот узел и выберите ""Удалить"".","El cruce es parte de un programa temporizado.\nSelecciona ""Semáforos programados"", haz clic en este cruce y luego en ""Eliminar"".",Strings.csv
