Switch_traffic_lights 信号の付け外し
Add_priority_signs 優先関係標識の追加
Manual_traffic_lights 信号の手動切替
Timed_traffic_lights 時間設定付き信号
Change_lane_arrows 車線矢印の変更
Clear_Traffic 移動中車両の除去
Disable_despawning スタック除去無効化
Enable_despawning スタック除去有効化
NODE_IS_LIGHT この交差点には信号があります。\n信号を削除するには「信号の付け外し」を選んでこの交差点をクリックしてください。
NODE_IS_TIMED_LIGHT この交差点には時間設定付き信号があります。\nまず「時間設定付き信号」を選んでこの交差点をクリックして「削除」をクリックしてください。
Select_nodes_windowTitle 交差点の選択
Select_nodes 交差点を選択してください
Node 交差点
Deselect_all_nodes 全交差点の選択を解除
Setup_timed_traffic_light 時間設定付き信号の設定
State 状態
Skip 次へ
up 上へ
down 下へ
View 表示
Edit 編集
Delete 削除
Timed_traffic_lights_manager 時間設定付き信号の管理
Add_step 状態の追加
Remove_timed_traffic_light 時間設定付き信号の削除
Min._Time: 最短時間:
Max._Time: 最長時間:
Save 保存
Add 追加
Sensitivity 感度
Very_Low とても低い
Low 低い
Medium 中くらい
High 高い
Very_high とても高い
Extreme_long_green/red_phases 混雑してきてもほとんど切り替えない
Very_long_green/red_phases 混雑してきてもあまり切り替えない
Long_green/red_phases 混雑具合によってそこそこに切り替える
Moderate_green/red_phases 混雑具合によって適度に切り替える
Short_green/red_phases 混雑具合によって細かく切り替える
Very_short_green/red_phases 混雑具合によってとても細かく切り替える
Extreme_short_green/red_phases 混雑具合によって非常に細かく切り替える
Hide_counters カウンターの非表示
Show_counters カウンターの表示
Start 開始
Stop 停止
Enable_test_mode_(stay_in_current_step) テストモード有効 (現在の状態に留まる)
avg._flow 平均流量
avg._wait 平均待ち
min/max 最短/最長
Lane 車線
Set_Speed 速度{0}に設定
Max_speed 最大速度
Segment 道路
incoming 台流入
Enable_Advanced_Vehicle_AI Advanced Vehicle AIを有効にする
Vehicles_may_enter_blocked_junctions 交差点内での停車を許可
All_vehicles_may_ignore_lane_arrows 全車両に対して車線矢印の無視を許可
Busses_may_ignore_lane_arrows バスに対して車線矢印の無視を許可
Reckless_driving 無謀運転 (ベータ機能/いくらかの市民が交通ルールを無視します)
TMPE_Title Traffic Manager: President Edition
Settings_are_defined_for_each_savegame_separately 設定は各セーブデータ毎に保存されます
Simulation_accuracy シミュレーションの正確さ (高いとパフォーマンスが低下します)
Enable_highway_specific_lane_merging/splitting_rules 高速道路特有の車線合流/分離ルールを適用する
Drivers_want_to_change_lanes_(only_applied_if_Advanced_AI_is_enabled): 車線変更の頻度 (Advanced AI有効時のみ適用されます)
Maintenance メンテナンス
Very_often 非常に頻繁
Often 頻繁
Sometimes 時々
Rarely まれ
Very_rarely 非常にまれ
Only_if_necessary 必要時のみ
Nodes_and_segments 交差点と道路の表示
Lanes 車線
Path_Of_Evil_(10_%) 悪路 (10 %)
Rush_Hour_(5_%) ラッシュアワー (5 %)
Minor_Complaints_(2_%) ほとんど不満なし (2 %)
Holy_City_(0_%) 天国 (0 %)
Forget_toggled_traffic_lights 付け外しした信号を元に戻す
Road_is_already_in_a_group! この道路は既にグループ内にあります！
All_selected_roads_must_be_of_the_same_type! 選択する道路は全て同じタイプである必要があります！
Create_group グループの作成
Delete_group グループの削除
Add_zoning 区間の追加
Remove_zoning 区間の削除
Lane_Arrow_Changer_Disabled_Highway 高速道路ルールシステムを適用しているため、この車線の矢印は変更できません
Add_junction_to_timed_light この信号に交差点を追加
Remove_junction_from_timed_light この信号から交差点を削除 
Select_junction 交差点を選択してください 
Cancel キャンセル 
Speed_limits 速度制限
Persistently_visible_overlays オーバーレイ表示し続ける情報
Priority_signs 優先関係標識
Vehicles_may_do_u-turns_at_junctions 交差点でのUターンを許可
Vehicles_going_straight_may_change_lanes_at_junctions 直進車両の交差点での車線変更を許可
Allow_u-turns Uターンを許可
Allow_lane_changing_for_vehicles_going_straight 直進車両の車線変更を許可
Allow_vehicles_to_enter_a_blocked_junction 交差点内での停車を許可
Road_condition_has_a_bigger_impact_on_vehicle_speed 路面状況がより大きな影響を車両速度に与える
Vehicle_restrictions 車両規制
Copy コピー
Paste 貼り付け
Invert 反転
Apply_vehicle_restrictions_to_all_road_segments_between_two_junctions 交差点間の全道路に車両規制を適用
Allow_all_vehicles 全車両を許可
Ban_all_vehicles 全車両を禁止
Set_all_traffic_lights_to_red 全信号を赤に設定
Rotate_left 左に回転
Rotate_right 右に回転
Name 名前
Apply 適用
Select_a_timed_traffic_light_program 時間設定付き信号のプログラムを選択してください
The_chosen_traffic_light_program_is_incompatible_to_this_junction 選択された信号パターンはこの交差点と互換性がありません
Advanced_AI_cannot_be_activated Advanced Vehicle AIは有効にできません
The_Advanced_Vehicle_AI_cannot_be_activated Advanced Vehicle AIは、車両の振る舞いを変える他のMOD(例えばImproved AIやTraffic++)を既に使っているため、有効にできません.
Enable_dynamic_path_calculation 動的なパス計算を有効にする
Lane_Arrow_Changer_Disabled_Connection 手動で車線接続を作成したため、この車線の矢印の変更は無効になっています
Lane_connector 車線を接続
Connected_lanes 接続した車線
Use_alternative_view_mode 代替表示モードを使用する
Road_type 道路の種類
Default_speed_limit デフォルトの制限速度
Unit_system 単位系
Metric メートル法
Imperial ヤード・ポンド法
Use_more_CPU_cores_for_route_calculation_if_available ルート計算にもっとCPUコアを使用する（利用可能な場合）
Activated_features 有効な機能
Junction_restrictions 交差点の制限
Prohibit_spawning_of_pocket_cars ポケットカーの生成禁止
Reset_stuck_cims_and_vehicles 立ち往生している人や車両をリセットする
Default_speed_limits デフォルトの制限速度
Looking_for_a_parking_spot 駐車場を探す
Driving_to_a_parking_spot 駐車場への運転
Driving_to_another_parking_spot 別の駐車場への運転
Entering_vehicle 入庫
Walking_to_car 車まで歩く
Using_public_transport 公共交通機関を利用する
Walking 歩く
Thinking_of_a_good_parking_spot 好ましい駐車場を考える
Switch_view ビューを切り替える
Outgoing_demand 出ていく需要
Incoming_demand 入っていく需要
Advanced_Vehicle_AI 高度な車両AI
Heavy_trucks_prefer_outer_lanes_on_highways 高速道路では大型車は外側車線を選択します
Parking_AI 駐車AI
Enable_more_realistic_parking より現実的な駐車を有効にする
Reset_custom_speed_limits カスタム速度制限をリセットする
Reload_global_configuration グローバル設定のリロード
Reset_global_configuration グローバル設定をリセット
General 全般
Gameplay ゲームプレイ
Overlays オーバーレイ
Individual_driving_styles Individual driving styles
Evacuation_busses_may_ignore_traffic_rules 避難バスは交通規則を無視するであろう
Evacuation_busses_may_only_be_used_to_reach_a_shelter 避難バスは避難所へのアクセスにのみ使用できます
Vehicle_behavior 車両の挙動
Policies_&_Restrictions ポリシーと制限
At_junctions 交差点で
In_case_of_emergency 緊急の場合に
Show_lane-wise_speed_limits 車線毎の制限速度を表示する
Language 言語
Game_language ゲームの言語
requires_game_restart ゲームの再起動が必要
Customizations_come_into_effect_instantaneously カスタマイズが即座に有効になります
Options オプション
Lock_main_menu_button_position メインメニューボタン位置をロックする
Lock_main_menu_position メインメニュー位置をロック
Recalculating_lane_routing レーンルーティングの再計算
Please_wait お待ちください
Parking_restrictions 駐車規制
Simulation シミュレーション
On_roads 道路上
Ban_private_cars_and_trucks_on_bus_lanes 自家用車やトラックのバスレーン通行禁止
default デフォルト
flow_ratio 流動割合
wait_ratio 待ち割合
After_min._time_has_elapsed_switch_to_next_step_if 最小時間が経過した後、次のステップに切り替える条件
Adaptive_step_switching 適応ステップスイッチング
Dynamic_lane_section 動的レーン選択
Percentage_of_vehicles_performing_dynamic_lane_section 動的レーン選択を実行する車両の割合
Vehicle_restrictions_aggression 車両制限適用の厳格さ
Strict 厳密
Show_path-find_stats パス検索統計情報を表示する
Remove_this_vehicle この車両を削除する
Vehicles_follow_priority_rules_at_junctions_with_timed_traffic_lights 車両は時間設定付き信号機がある交差点で一般的な優先のルールに従います
Enable_tutorial_messages チュートリアルメッセージを有効にする
TMPE_TUTORIAL_HEAD_MainMenu Traffic Manager: President Edition
TMPE_TUTORIAL_BODY_MainMenu ようこそ TM:PE!\n\nユーザーマニュアル: http://www.viathinksoft.de/tmpe
TMPE_TUTORIAL_HEAD_JunctionRestrictionsTool 交差点の制限
