Switch_traffic_lights 增刪號誌燈
Add_priority_signs 增訂優先通行權
Manual_traffic_lights 手控號誌燈
Timed_traffic_lights 號誌燈時相設定
Change_lane_arrows 改變車道遵行方向
Clear_Traffic 消除所有車輛
Disable_despawning 久塞車輛永不消失
Enable_despawning 允許久塞車輛消失
NODE_IS_LIGHT 具有預設燈號的道路交岔點。\n選用「增刪號誌燈」並點選該道路交岔點來刪除號誌燈。
NODE_IS_TIMED_LIGHT 具有自訂程序燈號的道路交岔點。\n先選用「號誌燈時相設定」，再點選該道路交岔點並點選「移除」以移除設定。
Select_nodes_windowTitle 請點選道路交岔點
Select_nodes 請點選道路交岔點
Node 道路交岔點
Deselect_all_nodes 取消選擇所有道路交岔點
Setup_timed_traffic_light 設定號誌燈時相
State 狀態
Skip 跳過
up 上移
down 下移
View 檢視
Edit 編輯
Delete 刪除
Timed_traffic_lights_manager 號誌燈時相設定工具
Add_step 增加時相
Remove_timed_traffic_light 移除號誌燈時相設定
Min._Time: 最短時間
Max._Time: 最長時間
Save 儲存
Add 增加
Sensitivity 靈敏度
Very_Low 非常低
Low 低
Medium 中
High 高
Very_high 非常高
Extreme_long_green/red_phases 最長的紅、綠燈時相
Very_long_green/red_phases 非常長的紅、綠燈時相
Long_green/red_phases 稍長的紅、綠燈時相
Moderate_green/red_phases 中等的紅、綠燈時相
Short_green/red_phases 稍短的紅、綠燈時相
Very_short_green/red_phases 非常短的紅、綠燈時相
Extreme_short_green/red_phases 最短的紅、綠燈時相
Hide_counters 隱藏讀秒
Show_counters 顯示讀秒
Start 啟用
Stop 停止
Enable_test_mode_(stay_in_current_step) 允許測試模式（停留在當前時相）
avg._flow 平均通過
avg._wait 平均停等
min/max 最短/最長
Lane 車道
Set_Speed 設定速限 {0}
Max_speed 最高速限
Segment 路段
incoming 進入
Enable_Advanced_Vehicle_AI 啟用加強版行車 AI
Vehicles_may_enter_blocked_junctions 塞車回堵時不用保持路口淨空。
All_vehicles_may_ignore_lane_arrows 所有車輛可忽略車道遵行方向
Busses_may_ignore_lane_arrows 公車可忽略車道遵行方向
Reckless_driving 違規駕駛率（功能測試中）
TMPE_Title 交通管理器：尊爵版
Settings_are_defined_for_each_savegame_separately 每個存檔保有各自獨立的設定
Simulation_accuracy 模擬精準度（較高的精準度會降低效能）
Enable_highway_specific_lane_merging/splitting_rules 施行高速公路獨特的車道單邊出入規則
Drivers_want_to_change_lanes_(only_applied_if_Advanced_AI_is_enabled): 駕駛人變換車道的習慣（僅適用於加強版 AI 啟用時）
Maintenance 錯誤修復
Very_often 很頻繁
Often 經常
Sometimes 有時候
Rarely 偶爾
Very_rarely 甚少
Only_if_necessary 僅必要時
Nodes_and_segments 道路交岔點和路段
Lanes 車道
Path_Of_Evil_(10_%) 馬路我最大(10%)
Rush_Hour_(5_%) 上班趕時間(5%)
Minor_Complaints_(2_%) 對不起借過(2%)
Holy_City_(0_%) 守法乖寶寶(0%)
Forget_toggled_traffic_lights 放棄設定的交通燈號
Road_is_already_in_a_group! 道路已在連鎖群組中
All_selected_roads_must_be_of_the_same_type! 所有選擇的道路必須是同類型的
Create_group 創建連鎖群組
Delete_group 刪除連鎖群組
Add_zoning 增加區劃
Remove_zoning 移除區劃
Lane_Arrow_Changer_Disabled 改變車道遵行方向的功能已關閉，因為您已施行高速公路特規行駛系統
Add_junction_to_timed_light 將此交岔路口加入號誌燈時相連鎖
Remove_junction_from_timed_light 將此交岔路口移出號誌燈時相連鎖
Select_junction 選取一處道路交叉點
Cancel 取消
Speed_limits 速限
Persistently_visible_overlays 固定檢視的項目
Priority_signs 優先通行權標誌
Vehicles_may_do_u-turns_at_junctions 車輛可在路口迴轉
Vehicles_going_straight_may_change_lanes_at_junctions 直行車可在交岔路口上變換車道
Allow_u-turns 允許迴轉
Allow_lane_changing_for_vehicles_going_straight 允許直行車變換車道
Allow_vehicles_to_enter_a_blocked_junction 允許塞車回堵時不用保持路口淨空
Road_condition_has_a_bigger_impact_on_vehicle_speed 道路狀態對車速有較大的影響
Vehicle_restrictions 車種限定
Copy 複製
Paste 貼上
Invert 對調選擇
Apply_vehicle_restrictions_to_all_road_segments_between_two_junctions 對兩個路口間的全部路段套用車種限定
Allow_all_vehicles 通行所有車種
Ban_all_vehicles 禁行所有車種
Set_all_traffic_lights_to_red 將所有號誌燈設為紅燈
Rotate_left 向左轉動
Rotate_right 向右轉動
Name 名稱
Apply 套用
Select_a_timed_traffic_light_program 請點選一個號誌燈的時相程序
The_chosen_traffic_light_program_is_incompatible_to_this_junction 所選的號誌燈時相不適用於此交叉路口
Advanced_AI_cannot_be_activated 加強版 AI 無法啟動
The_Advanced_Vehicle_AI_cannot_be_activated 加強版車輛AI無法啟動，因為您所使用的其它車輛行控模組正作動中（例如 Improved AI 或 Traffic++）
Enable_dynamic_path_calculation 啟用動態的路線運算
Changes_made_with_this_tool_will_take_full_effect_after_some_minutes 請注意，此工具造成的改變需要幾分鐘才能完全發揮效果。
